fha_loan_id,hud_property_name,city,state,initial_endorsement_date,original_mortgage_amount,program_category,units,basic_fha_risk_share_or_other,current_status_of_loan,date_of_firm_issue,firm_commitment_lender,holder_name
174400,Dick's Sporting Goods,Chillicothe,PA,1996-11-07,90946695,202/8 SR,113,Risk Sharing,Finally Endorsed,2021-09-01,Shirokiya,ManCharm
344098,1061 Issleib Cove,Port St. Lucie,PA,2011-05-29,76284853,202/8 SR,495,Basic FHA,Finally Endorsed,2022-06-24,"CA, Inc.",Washburn Guitars
496274,DST Systems,Bridgeton,PA,1984-09-16,143501476,202/8 SR,320,Risk Sharing,Finally Endorsed,2020-02-16,Amgen,Realty Solution
107672,1114 Westgate Turnpike,Oxford,PA,1984-05-30,112538995,223(a)(7) Refi of 223f Nursing/ ICF,263,Basic FHA,Finally Endorsed,2023-07-01,"DivX, Inc.",JL Audio
748245,1081 Alabama Annex,Biddeford,PA,1981-01-19,96251427,223(a)(7) Refi of 223f Nursing/ ICF,16,Hospitals & Group Practice,Finally Endorsed,2023-02-11,Aspyr Media,Avant Garde Interior Designs
853579,961 Roach Green,La Vergne,PA,2005-08-24,53474375,202/8 NC,460,Basic FHA,Initially Endorsed,2022-10-25,Formula Gray,Alienware
562425,759 Payson Terrace,Brooklyn Center,PA,1990-10-28,32884109,223(a)(7) Refi of 223f Nursing/ ICF,18,Risk Sharing,Initially Endorsed,2022-02-24,Ashland Inc.,First Choice Garden Maintenance
665870,26 Moraga Circle,Crystal Lake,PA,1999-11-07,146576821,223(a)(7) Refi of 223f Nursing/ ICF,190,Risk Sharing,Finally Endorsed,2022-10-24,Bellwether Technology Corporation,Star Assistance
019679,Payless ShoeSource,Manteca,PA,1987-05-19,50025204,223(a)(7) Refi of 223f ALF,326,Risk Sharing,Initially Endorsed,2020-11-27,Plan Future,Exelon Corporation
204151,1284 Fifth Canyon,El Dorado,PA,1998-01-11,41369572,202/8 NC,237,Basic FHA,Initially Endorsed,2020-08-06,Architectural Genie,Mozilla Foundation
367899,US Cellular,Reynoldsburg,PA,1995-04-04,85343671,202/8 NC,228,Risk Sharing,Finally Endorsed,2021-04-22,Ideal Industries,Trinity Industries Inc.
378953,825 Meade Bend,Angleton,PA,1988-11-02,35940754,223(a)(7) Refi of 223f Nursing/ ICF,109,Basic FHA,Initially Endorsed,2023-02-04,GTECH,Success Is Yours
248274,336 Ritch Mall,Monrovia,PA,2017-10-04,14101174,223(a)(7) Refi of 223f Nursing/ ICF,113,Risk Sharing,Initially Endorsed,2022-06-21,Boise Cascade,Rivera Property Maintenance
821577,352 Jessie East Manor,Lincoln,PA,2014-09-28,119910408,202/8 NC,80,Risk Sharing,Initially Endorsed,2023-12-21,Rockwell Collins,Novellus Systems
216632,Corinthian Designs,Murray,PA,2010-03-30,149108716,202/8 SR,283,Hospitals & Group Practice,Initially Endorsed,2022-02-18,Matrix Architectural Service,Alaska Air Group
414667,Specific Appraisals,Cartersville,PA,2018-03-19,117769458,202/8 SR,183,Hospitals & Group Practice,Finally Endorsed,2023-10-27,Belk,Zune
086460,465 Rolph Parkway,Frederick,PA,1984-12-04,33288084,223(a)(7) Refi of 223f Nursing/ ICF,8,Risk Sharing,Initially Endorsed,2023-08-28,Solution Realty,eBay
700278,Grade A Investment,Hoboken,PA,1980-12-25,83849311,223(a)(7) Refi of 223f ALF,421,Risk Sharing,Initially Endorsed,2020-12-03,Pluto Marine,Pluto Marine
663640,Happy Family,Newton,PA,2008-06-14,144647945,202/8 SR,110,Basic FHA,Initially Endorsed,2023-10-17,UPS,Simply Appraisals
229447,1231 Tevis Field,Easton,PA,2014-01-26,25712163,223(a)(7) Refi of 223f Nursing/ ICF,89,Risk Sharing,Initially Endorsed,2023-09-25,Bellwether Technology Corporation,DC Comics
670371,"Aaron's, Inc.",Bismarck,PA,2016-08-08,149452929,202/8 NC,146,Basic FHA,Finally Endorsed,2023-09-06,Pro Yard Services,FreeWave Technologies
550132,The Hertz Corporation,Rockwall,PA,2014-04-26,11768966,202/8 NC,449,Risk Sharing,Finally Endorsed,2020-02-23,QVC,Boyd Gaming
830757,460 Arago Mall,Santa Ana,PA,1998-12-30,113870693,202/8 SR,116,Basic FHA,Finally Endorsed,2023-12-01,Emcor,Simply Appraisals
694372,Total Quality,Rancho Cordova,PA,2012-08-10,111017497,202/8 NC,101,Risk Sharing,Finally Endorsed,2020-07-31,American Family Insurance,Stewart-Warner
974053,"Sun Microsystems, Inc.",Ashland,PA,1981-03-16,113651944,202/8 SR,331,Hospitals & Group Practice,Initially Endorsed,2023-09-22,Kmart,Seattle's Best Coffee
701303,808 Bush Square,North Tonawanda,PA,1991-08-20,116417644,202/8 NC,166,Risk Sharing,Finally Endorsed,2020-10-12,Gibson Guitar Corporation,Storage Technology Corporation
750652,Novellus Systems,Sugar Hill,PA,1981-07-05,146977705,223(a)(7) Refi of 223f Nursing/ ICF,2,Hospitals & Group Practice,Initially Endorsed,2021-06-06,WWE,Paxton Media Group
173315,World Airways,Rosemead,PA,2022-08-08,89818454,223(a)(7) Refi of 223f Nursing/ ICF,404,Risk Sharing,Initially Endorsed,2023-02-14,Chargepal,Asbury Automotive Group
018252,1180 Jefferson Lake,Winona,PA,1995-11-01,41911030,202/8 NC,30,Hospitals & Group Practice,Finally Endorsed,2021-01-16,Magna Architectural Design,ViewSonic
768731,1198 Glen Spur,Cornelius,PA,1996-01-17,63622449,223(a)(7) Refi of 223f Nursing/ ICF,376,Hospitals & Group Practice,Initially Endorsed,2022-11-28,Ground Round,Starz
081594,602 Marne Terrace,Dinuba,PA,1987-11-17,47279692,223(a)(7) Refi of 223f Nursing/ ICF,187,Hospitals & Group Practice,Initially Endorsed,2022-11-28,Netcore,Lee
400247,Atlas Realty,Cedar City,PA,2010-05-05,148394818,202/8 SR,375,Basic FHA,Initially Endorsed,2023-11-08,Burlington Coat Factory,Yahoo!
932609,504 Kittredge Grove,Cartersville,PA,1982-02-11,127937503,223(a)(7) Refi of 223f ALF,121,Basic FHA,Initially Endorsed,2023-03-10,Estée Lauder Companies,US Cellular
717656,546 Lyon Mall,Lenoir,PA,1983-04-27,30829960,223(a)(7) Refi of 223f Nursing/ ICF,117,Basic FHA,Finally Endorsed,2022-03-17,Exact Solutions,Choices
295585,DuPont,Plainfield,PA,1981-06-21,62035869,223(a)(7) Refi of 223f Nursing/ ICF,16,Risk Sharing,Finally Endorsed,2023-07-09,Landskip Yard Service,Tesoro
484144,Valero Energy Corporation,Highland Village,PA,2011-09-15,113935333,202/8 NC,146,Risk Sharing,Finally Endorsed,2022-11-25,Open Interface,Precision Castparts Corporation
690280,Union Oil Company of California,Sumter,PA,2010-08-05,5895886,202/8 NC,353,Basic FHA,Initially Endorsed,2023-12-18,Quanta Services,Rockwell Automation
376240,Service Corporation International,Boston,PA,1985-05-25,94193701,223(a)(7) Refi of 223f Nursing/ ICF,222,Hospitals & Group Practice,Finally Endorsed,2021-09-25,Zoom Technologies,Practi-Plan
027848,23 Kansas Spur,Del City,PA,1993-11-16,58625369,202/8 SR,149,Hospitals & Group Practice,Finally Endorsed,2023-01-20,Fisker Automotive,Hasbro
475907,Monk Real Estate Service,Addison,PA,2013-02-26,145429724,202/8 NC,188,Basic FHA,Finally Endorsed,2020-11-07,Total Network Development,Growmark
451475,C.H. Robinson Worldwide,Vancouver,PA,1982-08-08,53290291,202/8 SR,307,Risk Sharing,Initially Endorsed,2020-10-01,Maxi-Tech,Louisiana Pacific
917711,1204 Armory Point,Clinton,PA,2006-04-24,98708062,223(a)(7) Refi of 223f Nursing/ ICF,195,Risk Sharing,Finally Endorsed,2022-09-06,Cartoon Network Studios,Titania
553142,Brightpoint,Lima,PA,2012-09-14,11781476,223(a)(7) Refi of 223f ALF,128,Basic FHA,Initially Endorsed,2020-10-26,Prestiga-Biz,Mission Realty
159078,1135 Fallon Center,Gastonia,PA,2005-10-10,140822947,202/8 NC,427,Risk Sharing,Initially Endorsed,2023-04-18,Rayovac,The White Rabbit
315238,612 Edward Arcade,Conroe,PA,1985-03-02,61982694,202/8 NC,387,Hospitals & Group Practice,Initially Endorsed,2022-08-23,Integra Design,Netaid
442683,911 Anderson Run,Georgetown,PA,2012-12-13,19888209,202/8 SR,191,Risk Sharing,Finally Endorsed,2023-03-23,Friendly Interior Design,JCPenney
109715,Rockstar Games,Chino Hills,PA,1984-08-12,115405,223(a)(7) Refi of 223f Nursing/ ICF,71,Risk Sharing,Finally Endorsed,2023-06-08,Advansed Teksyztems,"Sun Microsystems, Inc."
472456,Corinthian Designs,Vineland,PA,2022-01-14,118956186,223(a)(7) Refi of 223f ALF,457,Basic FHA,Initially Endorsed,2021-11-04,CoolTouch Monitors,Hornbeck Offshore Services
186013,1285 San Anselmo Trail,Loves Park,PA,2004-02-10,18945151,202/8 NC,335,Basic FHA,Initially Endorsed,2023-01-28,Quantrix,Imation
404233,DC Shoes,Orange,PA,1987-01-28,17467890,202/8 NC,44,Basic FHA,Initially Endorsed,2023-10-13,Oberweis Dairy,Washburn Guitars
695058,538 Mill Avenue,Edgewater,PA,1987-02-14,127433219,202/8 NC,428,Hospitals & Group Practice,Initially Endorsed,2022-08-27,Jackhammer Technologies,Solid Future
624980,Pluto Marine,Plattsburgh,PA,1992-06-04,2948662,202/8 SR,424,Hospitals & Group Practice,Finally Endorsed,2021-09-02,Indiewealth,Team Uno
958269,965 Clarence Point,Linden,PA,1995-03-13,68762158,223(a)(7) Refi of 223f Nursing/ ICF,260,Risk Sharing,Initially Endorsed,2020-06-13,Arrow Electronics,MegaSolutions
796445,977 Cuvier Hill,Olathe,PA,1984-10-07,118271028,202/8 SR,466,Hospitals & Group Practice,Finally Endorsed,2021-09-28,Columbia Sussex,Merrymaking
639594,C.H. Robinson Worldwide,Laurel,PA,1980-01-19,145326819,223(a)(7) Refi of 223f Nursing/ ICF,363,Risk Sharing,Initially Endorsed,2023-05-01,Steinway & Sons,Alcoa
069756,Columbia Sussex,South Holland,PA,2018-03-26,90850606,223(a)(7) Refi of 223f Nursing/ ICF,90,Basic FHA,Finally Endorsed,2021-11-13,Accuquote,Jackpot Consultant
078426,Bath & Body Works,Muskegon,PA,2011-01-22,104332375,223(a)(7) Refi of 223f Nursing/ ICF,243,Basic FHA,Finally Endorsed,2020-01-14,AutoZone,Biggby Coffee
022844,Acuserv,Eustis,PA,1989-09-30,109635036,202/8 NC,489,Basic FHA,Finally Endorsed,2022-04-16,Southwest Airlines,Vectren
603117,1023 Piedmont Road,Battle Creek,PA,1995-02-26,142381947,223(a)(7) Refi of 223f ALF,500,Risk Sharing,Initially Endorsed,2020-05-21,Group O,Gatorade
488243,AirTran Holdings,Indianapolis,PA,2018-06-30,116625989,202/8 NC,179,Basic FHA,Finally Endorsed,2023-04-24,BearingPoint,Xilinx
026681,Golden Joy,Safety Harbor,PA,2021-03-14,15415746,223(a)(7) Refi of 223f ALF,103,Hospitals & Group Practice,Initially Endorsed,2022-06-30,Helios Air,BNSF Railway
833388,Seagate Technology,La Quinta,PA,2004-01-01,60428853,202/8 NC,182,Risk Sharing,Initially Endorsed,2022-09-29,Nutri G,Full Color
119926,Royal Gas,Lowell,PA,2002-11-22,91998002,223(a)(7) Refi of 223f Nursing/ ICF,370,Hospitals & Group Practice,Finally Endorsed,2021-10-25,Ubu Productions,Overcast Media
539362,1393 Lilac Glen,Streamwood,PA,1982-12-04,107825805,202/8 SR,290,Basic FHA,Finally Endorsed,2023-01-08,Friendly Interior Design,Bose Corporation
933974,Edge Yard Service,Tullahoma,PA,2019-06-04,144684981,223(a)(7) Refi of 223f Nursing/ ICF,308,Basic FHA,Finally Endorsed,2023-12-30,J. P. Morgan Chase and Co.,AskMeNow
483384,ConocoPhillips,San Jacinto,PA,2004-04-27,23193292,223(a)(7) Refi of 223f ALF,118,Basic FHA,Finally Endorsed,2023-02-24,Dow Jones & Company,Mattel
965826,Renys,Windsor,PA,1990-08-26,104176240,223(a)(7) Refi of 223f ALF,453,Basic FHA,Finally Endorsed,2020-10-16,Pacific Gas & Electric Company,Calista Corporation
680894,336 Palos Parkway,Yonkers,PA,1981-04-26,135864036,202/8 SR,300,Risk Sharing,Finally Endorsed,2023-09-07,Best Biz Survis,H&R Block
534145,256 Sibley Arcade,El Cerrito,PA,1988-08-26,129837597,223(a)(7) Refi of 223f ALF,330,Basic FHA,Initially Endorsed,2020-12-26,Cognizant Technology Solutions,Megatronic Mux
978912,Aéropostale,Mattoon,PA,1986-02-18,36768967,202/8 SR,269,Hospitals & Group Practice,Initially Endorsed,2022-05-24,Amerigroup,Red Hat
399220,Ameren,Taylorsville,PA,2008-07-09,19011208,202/8 NC,397,Hospitals & Group Practice,Finally Endorsed,2021-03-28,Nortax,ExxonMobil
107345,Energy East,Millbrook,PA,2007-10-08,12875541,202/8 SR,500,Basic FHA,Finally Endorsed,2021-06-18,Omni Tech,ION Media Networks
996768,Adaptec,Hagerstown,PA,2017-10-29,84112391,223(a)(7) Refi of 223f Nursing/ ICF,76,Basic FHA,Initially Endorsed,2023-05-07,"Dell, Inc.",Riverdeep
370701,Numark,Abilene,PA,2023-10-17,143552801,202/8 SR,338,Hospitals & Group Practice,Initially Endorsed,2022-04-13,Automatic Data Processing,Applied Materials
663899,Bradley Pharmaceuticals,Pittsburg,PA,1980-08-11,79006674,223(a)(7) Refi of 223f Nursing/ ICF,52,Risk Sharing,Finally Endorsed,2021-01-09,Science Applications International Corporation,Konsili
092924,Sur La Table,Daly City,PA,2016-05-15,135400496,223(a)(7) Refi of 223f Nursing/ ICF,456,Risk Sharing,Finally Endorsed,2023-04-07,Alienware,American Eagle Outfitters
388768,The Serendipity Dip,Kent,PA,1999-08-23,38365416,202/8 NC,204,Hospitals & Group Practice,Initially Endorsed,2020-06-20,Grey Fade,American Family Insurance
858966,606 Cerritos Trail,Green,PA,2001-09-11,102086059,223(a)(7) Refi of 223f ALF,101,Risk Sharing,Initially Endorsed,2020-04-04,Omni Source,Del Monte Foods
833725,Hot Topic,Peekskill,PA,2014-04-24,100130096,202/8 SR,445,Basic FHA,Finally Endorsed,2020-03-05,Whataburger,Lumencraft
202923,Brookdale Senior Living,Perrysburg,PA,2019-07-03,118226758,223(a)(7) Refi of 223f ALF,460,Risk Sharing,Finally Endorsed,2022-12-21,Pizza Hut,Integra Investment Plan
254666,W. R. Grace and Company,Vista,PA,2003-08-25,105762054,223(a)(7) Refi of 223f ALF,249,Basic FHA,Finally Endorsed,2021-11-18,Tropicana Products,Tupperware Brands Corporation
491169,Parallel Px,St. Cloud,PA,2014-05-13,93912721,202/8 NC,219,Risk Sharing,Initially Endorsed,2023-02-20,Boston Acoustics,AutoZone
267786,AMC Entertainment,Casselberry,PA,2017-10-20,94301960,223(a)(7) Refi of 223f Nursing/ ICF,99,Risk Sharing,Initially Endorsed,2021-09-18,Kohler Company,Delta Air Lines
052991,897 Randolph Viaduct,Arcadia,PA,2008-02-11,21859009,202/8 NC,51,Basic FHA,Initially Endorsed,2020-10-07,Sunoco,Caterpillar Inc.
770278,Trinity Industries Inc.,University Park,PA,2010-09-12,121762662,202/8 NC,105,Risk Sharing,Finally Endorsed,2023-03-15,Atari,Chrysler
171940,Garden Guru,Irving,PA,1995-08-03,140941821,202/8 SR,373,Basic FHA,Initially Endorsed,2021-02-08,Fit Tonic,Success Is Yours
432445,735 Ortega Center,Highland,PA,1991-04-23,141061684,202/8 NC,201,Hospitals & Group Practice,Initially Endorsed,2023-05-27,Sky High Financial Advice,Macroserve
522917,Ann Taylor,Newberg,PA,1994-09-25,83284816,202/8 NC,34,Risk Sharing,Finally Endorsed,2022-01-04,Electronic Geek,Ground Round
085204,341 Addison Stravenue,Vista,PA,1998-09-13,86277293,223(a)(7) Refi of 223f Nursing/ ICF,154,Basic FHA,Initially Endorsed,2023-05-01,Midwest Communications,GE Consumer & Industrial
030019,Ejecta,Brockton,PA,1988-04-01,32652320,202/8 NC,412,Risk Sharing,Finally Endorsed,2022-05-27,Antec,Future Plan
553557,Opticomp,Madison,PA,1986-01-14,130371418,223(a)(7) Refi of 223f ALF,122,Hospitals & Group Practice,Finally Endorsed,2022-03-14,Accuquote,House of Gas
351723,15 Bowling Green Viaduct,Lomita,PA,2007-01-12,144487038,202/8 NC,199,Risk Sharing,Initially Endorsed,2023-01-22,Procter & Gamble,Alliant Techsystems
316476,823 Monument Plaza,Rogers,PA,1981-06-08,129860024,223(a)(7) Refi of 223f ALF,426,Basic FHA,Initially Endorsed,2021-07-27,Black & Decker,Applebee's
835270,Price Waterhouse Coopers,Dinuba,PA,2009-11-30,99942079,202/8 NC,5,Hospitals & Group Practice,Finally Endorsed,2022-08-26,Papa John's Pizza,Energizer Holdings
726558,Gas Zone,Wake Forest,PA,1981-01-21,115651600,223(a)(7) Refi of 223f ALF,304,Basic FHA,Initially Endorsed,2023-10-07,Baldor Electric Company,Komerci
495643,Discovery Communications,Ennis,PA,2009-12-06,140301157,202/8 SR,146,Basic FHA,Finally Endorsed,2021-02-06,Microcat,Lucasfilm
780359,Kohler Company,Indio,PA,2005-04-30,49958397,223(a)(7) Refi of 223f Nursing/ ICF,61,Risk Sharing,Finally Endorsed,2020-09-01,Avnet,Colt's Manufacturing Company
677028,429 Emerald Cove Crossing,Little Elm,PA,2018-02-26,104046506,223(a)(7) Refi of 223f Nursing/ ICF,406,Hospitals & Group Practice,Finally Endorsed,2023-10-22,Magna Solution,Sears
801844,Fabrik Inc.,Garden Grove,PA,2017-03-11,7158005,202/8 NC,400,Basic FHA,Finally Endorsed,2023-10-01,Allergan,DC Shoes
066629,114 Livingston Ferry,Radcliff,PA,2002-01-08,86802543,202/8 NC,428,Basic FHA,Finally Endorsed,2021-02-25,Burlington Coat Factory,Fiserv
897666,663 Excelsior Avenue,Waltham,PA,2021-04-07,148726106,223(a)(7) Refi of 223f ALF,175,Hospitals & Group Practice,Finally Endorsed,2023-12-17,ADC Telecommunications,America Online
130904,698 Revello Station,Bismarck,PA,2013-10-24,76652607,202/8 SR,465,Basic FHA,Finally Endorsed,2020-01-16,KFC,Stratacard
451382,Dollar General,Winter Haven,PA,1992-03-31,46460565,223(a)(7) Refi of 223f ALF,338,Basic FHA,Finally Endorsed,2021-04-02,Chargepal,Realty Zone
314544,Journal Communications,Doral,PA,1995-12-10,106860299,202/8 NC,178,Hospitals & Group Practice,Initially Endorsed,2022-06-13,CVS Pharmacy,AnaSpec
391803,Myspace,Kinston,PA,1995-11-16,104374122,202/8 SR,59,Risk Sharing,Finally Endorsed,2020-08-11,Helping Hand,Beckman Coulter
308492,Xray Eye & Vision Clinics,Fall River,PA,1995-02-18,39280081,202/8 SR,2,Risk Sharing,Initially Endorsed,2020-04-16,Atari,Under Armour
189776,783 College Turnpike,Cooper City,PA,2007-09-04,101616382,202/8 SR,452,Risk Sharing,Initially Endorsed,2021-07-23,Salem Communications,Maxaprofit
497127,389 Conkling Extension,Tooele,PA,1995-02-04,31405653,223(a)(7) Refi of 223f ALF,105,Basic FHA,Finally Endorsed,2022-05-23,BlackRock,Harley-Davidson
781522,Advanced Micro Devices,Apple Valley,PA,1980-07-09,35522899,223(a)(7) Refi of 223f ALF,412,Hospitals & Group Practice,Finally Endorsed,2022-12-22,Dream Home Real Estate Service,Life Map Planners
164486,434 Melba Lane,Allen Park,PA,2001-09-30,140625172,223(a)(7) Refi of 223f ALF,320,Risk Sharing,Finally Endorsed,2021-12-12,W. R. Berkley,Orion
568582,242 Forest Crescent,Bessemer,PA,1995-01-26,72330665,202/8 NC,95,Hospitals & Group Practice,Finally Endorsed,2022-11-03,Accuquote,Strategy Planner
006503,Advanced Micro Devices,Deltona,PA,2004-12-14,27046807,202/8 NC,435,Basic FHA,Initially Endorsed,2023-06-10,Memorec,Master Builder Design Services
422081,988 Wyman Extension,Venice,PA,1993-02-19,91125852,202/8 SR,340,Risk Sharing,Initially Endorsed,2020-10-26,Sexsi Senorita,New World Realty
055312,Vistikon,Painesville,PA,2003-09-06,96371688,223(a)(7) Refi of 223f Nursing/ ICF,91,Basic FHA,Finally Endorsed,2021-03-11,American Airlines,Pluto Marine
935798,1023 Colin Heights,Kaysville,PA,1983-03-27,89630731,202/8 NC,205,Risk Sharing,Finally Endorsed,2022-01-16,Destiny Realty,CBS Corporation
270323,Strategy Consulting,Collinsville,PA,1996-04-22,141443276,202/8 SR,26,Basic FHA,Finally Endorsed,2020-01-29,Helios Air,Team Designers and Associates
200208,1173 Valencia Place,Somerville,PA,2013-06-09,37476732,223(a)(7) Refi of 223f Nursing/ ICF,327,Risk Sharing,Finally Endorsed,2023-05-19,Realty Solution,StopGrey
911646,162 Madrone Drive,Massillon,PA,2013-12-14,69781418,202/8 NC,40,Basic FHA,Finally Endorsed,2023-08-25,Assurant,Millenia Life
813916,815 Wattson Grove,Burton,PA,2007-08-03,30287572,202/8 SR,370,Hospitals & Group Practice,Finally Endorsed,2022-09-02,Opticomp,El Paso Corp.
403105,ION Media Networks,Avon Lake,PA,2011-04-03,18015181,223(a)(7) Refi of 223f ALF,180,Basic FHA,Finally Endorsed,2021-01-15,Science Applications International Corporation,Apollo Group
600576,Devon Energy,Fairfax,PA,2009-04-09,130878782,223(a)(7) Refi of 223f Nursing/ ICF,448,Basic FHA,Initially Endorsed,2021-06-28,Gap,Capital One
768752,Quest Technology Service,Greenville,PA,2022-02-25,147294911,202/8 SR,332,Hospitals & Group Practice,Finally Endorsed,2020-10-16,"DivX, Inc.",Gamma Gas
364712,Go Daddy,Rowlett,PA,1983-07-26,19735472,223(a)(7) Refi of 223f ALF,211,Risk Sharing,Initially Endorsed,2021-07-21,Monk House Sales,News Corporation
558156,Fox Film Corporation,Wadsworth,PA,2006-06-03,46652313,223(a)(7) Refi of 223f ALF,431,Hospitals & Group Practice,Initially Endorsed,2020-04-15,Star Merchant Services,SBC Communications
282841,505 Mount Vernon Field,Phoenix,PA,1991-01-30,38985751,202/8 SR,383,Risk Sharing,Initially Endorsed,2020-09-01,Ameriprise Financial,Airgas
156821,1195 Florentine Field,Temple,PA,2020-10-12,120891553,223(a)(7) Refi of 223f Nursing/ ICF,387,Basic FHA,Initially Endorsed,2020-05-09,Aspyr Media,J. P. Morgan Chase and Co.
049877,990 Fuente Estate,Buffalo,PA,1994-12-28,137887800,202/8 SR,88,Risk Sharing,Initially Endorsed,2021-04-16,AT&T,Eastman Kodak
843680,574 Broadmoor Avenue,Richmond,PA,2021-08-11,1439564,202/8 NC,393,Basic FHA,Finally Endorsed,2020-04-18,Bushmaster Firearms International,System Star
495103,627 Adair Crescent,Tallmadge,PA,2016-10-06,47513018,223(a)(7) Refi of 223f ALF,32,Hospitals & Group Practice,Finally Endorsed,2022-08-09,Berry Plastics,American Greetings
054639,Aloha Airlines,Royal Oak,PA,1985-05-22,13277752,223(a)(7) Refi of 223f Nursing/ ICF,196,Risk Sharing,Initially Endorsed,2022-11-20,CoolTouch Monitors,Hot Topic
241719,American Reprographics Company,Huber Heights,PA,2023-10-13,64448813,202/8 NC,197,Risk Sharing,Finally Endorsed,2023-11-04,Seattle's Best Coffee,Star Merchant Services
906718,Boeing,Bell,PA,2011-04-29,145918900,223(a)(7) Refi of 223f Nursing/ ICF,99,Basic FHA,Initially Endorsed,2022-10-13,MegaSolutions,Tempur-Pedic
338649,287 Corwin Crossing,Golden,PA,2014-01-11,107062321,223(a)(7) Refi of 223f Nursing/ ICF,155,Risk Sharing,Finally Endorsed,2021-07-19,Electric Boat,Minnesota IMPLAN Group
065709,523 Poppy Court,Roseburg,PA,2007-06-20,51501023,223(a)(7) Refi of 223f ALF,56,Hospitals & Group Practice,Initially Endorsed,2021-09-15,Lee,Seksi Ladi
915003,Alexander & Baldwin,Hallandale Beach,PA,2015-10-03,147331812,223(a)(7) Refi of 223f ALF,76,Risk Sharing,Finally Endorsed,2021-12-13,AutoZone,Sky High Financial Advice
383067,960 Ritch Ferry,Terre Haute,PA,1997-03-24,129194773,202/8 SR,179,Risk Sharing,Finally Endorsed,2022-05-08,Southwest Airlines,Miller Brewing
336171,533 Julian Parkway,Plattsburgh,PA,2008-11-17,98213581,223(a)(7) Refi of 223f Nursing/ ICF,250,Hospitals & Group Practice,Finally Endorsed,2022-04-09,Supervalu,Ariba
325056,GE Consumer & Industrial,Phoenix,PA,2014-11-29,119611840,223(a)(7) Refi of 223f Nursing/ ICF,14,Basic FHA,Initially Endorsed,2020-01-18,Pro Property Maintenance,Profitpros
165564,178 Ogden Arcade,East Chicago,PA,1995-11-25,111161494,202/8 SR,248,Basic FHA,Initially Endorsed,2021-08-07,Sonic Solutions,Iron Mountain
156435,Life Map,Rancho Mirage,PA,2020-02-06,114181472,223(a)(7) Refi of 223f ALF,187,Hospitals & Group Practice,Finally Endorsed,2023-08-18,Publix,Novellus Systems
397557,985 Rosenkranz Avenue,Mount Prospect,PA,2016-10-12,17071618,223(a)(7) Refi of 223f Nursing/ ICF,168,Hospitals & Group Practice,Finally Endorsed,2021-02-26,Total Network Development,E-zhe Source
416178,Apple Inc.,Monterey,PA,1998-03-04,71820624,202/8 SR,167,Risk Sharing,Finally Endorsed,2023-08-05,Zappos.com,Price Waterhouse Coopers
402245,595 San Benito Plaza,Durango,PA,1985-12-15,10670901,223(a)(7) Refi of 223f ALF,123,Hospitals & Group Practice,Initially Endorsed,2021-05-10,Farnod,Automatic Data Processing
443579,470 Candlestick Point Sra Hills,Hialeah,PA,2015-08-20,95707395,223(a)(7) Refi of 223f ALF,476,Basic FHA,Finally Endorsed,2020-06-30,Protean,Lockheed Martin
112745,Plochman's,Newport,PA,1999-04-25,43138868,202/8 NC,51,Basic FHA,Finally Endorsed,2023-07-23,Vermeer Industries,Oracle Corporation
485974,944 Havelock Lane,Sapulpa,PA,1988-04-21,3933195,202/8 NC,187,Hospitals & Group Practice,Finally Endorsed,2023-04-17,Delphi,The Spotted Cougar
586260,Iron Mountain,Sunnyvale,PA,1995-03-19,61326485,202/8 NC,364,Hospitals & Group Practice,Initially Endorsed,2020-12-04,Interstate Batteries,Target Corporation
974113,524 Bellair Arcade,Americus,PA,1980-10-27,133361580,202/8 SR,38,Basic FHA,Finally Endorsed,2020-03-20,Wendy's/Arby's Group,The Goose and Duck
377193,311 Malvina Bridge,Chanhassen,PA,2009-09-14,1275975,223(a)(7) Refi of 223f ALF,33,Basic FHA,Finally Endorsed,2022-07-06,Belk,Belkin
691995,A+ Investments,Bartlesville,PA,2013-08-15,82371103,223(a)(7) Refi of 223f Nursing/ ICF,91,Risk Sharing,Initially Endorsed,2020-01-04,Adaptabiz,Wise Appraisals
943143,733 Lenox Shore,Bellwood,PA,2022-12-04,61501443,202/8 SR,238,Risk Sharing,Initially Endorsed,2023-03-15,Red Bears Tavern,Pro Garden Management
123046,216 Broadway Glen,Fountain Valley,PA,2006-01-20,51415054,223(a)(7) Refi of 223f ALF,393,Basic FHA,Initially Endorsed,2023-05-30,The Jolly Farmer,Accuquote
898723,1319 Juri Pike,Clarksdale,PA,1995-09-15,149061453,223(a)(7) Refi of 223f ALF,421,Hospitals & Group Practice,Finally Endorsed,2022-11-19,Lucas Oil,OpenMarket Inc.
175640,House of Gas,Nashville,PA,1982-11-10,57971424,223(a)(7) Refi of 223f ALF,186,Risk Sharing,Finally Endorsed,2023-12-24,The Fox and Hound,Integra Wealth
830812,73 Santa Fe Plaza,Henderson,PA,1993-07-22,42600238,223(a)(7) Refi of 223f ALF,278,Basic FHA,Initially Endorsed,2021-04-15,Fender Musical Instruments Corporation,Merrymaking
767652,395 English Field,Jamestown,PA,2017-10-24,45081735,223(a)(7) Refi of 223f Nursing/ ICF,388,Hospitals & Group Practice,Finally Endorsed,2020-12-24,Solution Answers,Wahl Clipper
