lihtc_project_id,normalized_state_id,hud_property_name,property_street_address,city,state,zip_code,state_id
PAA52005956,PAA23335824,Quantrix,64 Hazelwood Arcade,East Lansing,PA,49784,PAA55165867
PAA62969453,PAA05277567,Dollar General,1047 Exposition Circle,Matteson,PA,75414,TC5468-0470
PAA66022417,PAA28368019,Time Warner Cable,766 Hartford Garden,Plattsburgh,PA,46300,PAA63832656
PAA36185724,TC0202-8632,40 Fort Funston Point,1020 Edgar Viaduct,Albany,PA,35952,TC4719-9345
PAA64948612,TC3979-5649,603 Lauren Center,1055 Stillman Arcade,Coralville,PA,48723,PAA66593082
PAA54731281,PAA20533011,1385 Drumm Expressway,285 Lurmont Pine,Dodge City,PA,91473,TC9910-2419
PAA04126801,TC5179-5235,247 Vista View Avenue,918 Martin Luther King Jr Hill,Novato,PA,70002,TC1112-7990
PAA43529483,TC5188-9165,Bellwether Technology Corporation,820 Felton Motorway,Porterville,PA,50664,TC0768-2319
PAA48163912,PAA75472647,Zaxby's,1377 Temple Hills,Novi,PA,78929,TC6246-4046
PAA36342965,TC7595-9594,657 Mendosa Mall,138 Fortuna Expressway,Cortland,PA,74033,PAA45355779
PAA84068946,PAA82309043,Progressive Corporation,1300 Andrew Run,Santa Cruz,PA,74139,PAA43701995
PAA69314049,TC6038-9748,Regis Corporation,230 Juan Bautista Run,Moore,PA,29108,TC6016-7087
PAA97695398,PAA94171248,823 Keystone Lane,552 Starview Place,Norristown,PA,56475,TC1835-5195
PAA20199194,TC6928-9698,Sky High Financial Advice,1369 Treat Garden,Rockville Centre,PA,76948,PAA28647934
PAA35839873,TC8452-5554,578 Hunter Estate,968 Dickinson Avenue,Redwood City,PA,72637,TC8049-7761
PAA05400335,TC5209-4123,WWE,22 Bridgeview Ferry,Waltham,PA,43875,PAA54328528
PAA23014789,PAA59879002,Bosch Brewing Company,559 Rosie Lee Loop,St. Petersburg,PA,59268,PAA76055976
PAA12890416,TC6765-2705,Bio-Rad Laboratories,477 Manseau Spur,Diamond Bar,PA,28598,TC0112-4705
PAA58928165,TC1908-0143,Eastman Kodak,548 Moreland Pike,Bolingbrook,PA,13072,PAA89314915
PAA78127870,PAA34076014,1112 La Grande Pike,1100 Underwood Bend,Dover,PA,19507,PAA03486205
PAA15243377,PAA40263805,84 Waterloo Crescent,1195 Watt Alley,Noblesville,PA,78702,PAA05043488
PAA39867705,TC8065-9526,777 Middlefield Parkway,794 Auburn Green,Richfield,PA,99065,PAA08134886
PAA51604234,TC7046-9774,1167 Spears Walk,1284 Saratoga Ranch,Lawrence,PA,07238,TC7460-4070
PAA67755983,PAA91386449,Farnod,845 Shields Loop,Fort Lauderdale,PA,36884,PAA81719259
PAA18159401,PAA62709587,273 Perimeter Bridge,892 Alta Mar Pine,Muskego,PA,61221,PAA04703723
PAA42328397,PAA06150207,Tropicana Products,598 Williams Hill,Whitehall,PA,73081,PAA59328359
PAA89792729,TC2160-2009,The Pink Pig Tavern,1040 Emil Field,Ridgeland,PA,15913,TC5341-5084
PAA17388531,TC7594-0616,ArvinMeritor,817 Mill Heights,Florence,PA,54708,PAA72837785
PAA25699764,TC1403-8319,1048 Mabel Spur,362 Emerald Cove Turnpike,Bristol,PA,69885,PAA24401229
PAA91490409,PAA41465522,Boeing,1325 Burns Lodge,Villa Park,PA,93582,TC8022-0376
PAA21853372,TC4071-6094,465 De Montfort Mews,102 Orizaba Hill,Cliffside Park,PA,17154,TC4822-0258
PAA55621795,TC2489-1155,505 Inca Place,851 Dow Alley,Union City,PA,61244,TC0042-0101
PAA73484355,TC9002-7187,Enterprise GP Holdings,54 Sussex Expressway,Calabasas,PA,42822,TC9238-7126
PAA82223124,TC8301-5336,Garden Guru,1078 Pasadena Alley,Lino Lakes,PA,89090,PAA57974121
PAA74030897,PAA97745639,WellPoint,137 Oakhurst Bayou,Fayetteville,PA,12345,TC0429-6410
PAA92306717,PAA69549387,271 San Anselmo Motorway,248 Whitecliff Creek,Warner Robins,PA,59601,PAA85383182
PAA46835698,PAA68516650,1382 Eugenia Canyon,921 Gateview Hills,Barberton,PA,27532,TC1238-1339
PAA30776966,TC0477-4262,353 Richard Henry Dana Crescent,1011 Fern Glen,Berea,PA,09436,PAA84002248
PAA79659779,TC6845-2940,333 Presidio Heights,572 Jerome Highway,Cabot,PA,84779,TC6026-4802
PAA72605040,TC6784-4128,JetBlue Airways,456 Knott Annex,Ames,PA,49363,TC4995-7309
PAA07050202,TC3567-8757,Atari,1002 Van Dyke Glen,Bridgeport,PA,35321,TC2673-0598
PAA33417884,PAA43571076,Allegheny Technologies,287 Santiago Ranch,Lynchburg,PA,76638,PAA85326257
PAA03198910,TC0936-2207,Home Depot,1025 Juan Bautista Circle,Boynton Beach,PA,37635,PAA93674622
PAA62795665,PAA74716826,Goodyear Tire and Rubber Company,746 Bright Terrace,Wyoming,PA,60100,PAA58647621
PAA47972230,TC6431-1886,671 Don Chee Stravenue,764 Ocean Expressway,Elko,PA,11546,PAA59873088
PAA15869055,TC1774-6598,1318 Ceres Hill,1368 Louisiana Garden,Normal,PA,73531,PAA29128923
PAA06337427,PAA69495678,570 Beaver Hills,147 Lyon Plaza,Margate,PA,48000,TC9269-8783
PAA35155352,PAA63085883,1055 Fowler Gardens,167 Willard Heights,Omaha,PA,76389,PAA64334995
PAA99370928,PAA65359318,Clear Channel Communications,1032 Exposition Park,Olympia,PA,01474,TC5274-3743
PAA20348318,TC2380-8665,Always,1057 Mission Garden,Hilton Head Island,PA,79607,TC5293-5229
PAA04438960,PAA94208715,Reliable Investments,813 Moulton Mews,Lauderdale Lakes,PA,12197,TC0836-7530
PAA81842499,PAA06243412,1114 Kingston Pine,156 Verdun Station,Fremont,PA,67581,PAA31461046
PAA54478237,PAA99442425,Transocean,262 Granada Stravenue,Deer Park,PA,75130,TC9366-0921
PAA12184176,TC7898-1720,725 Campton Alley,755 La Avanzada Viaduct,Compton,PA,90009,TC2360-6278
PAA97325012,TC4183-5411,Environ Architectural Design,78 Nelson Canyon,Bainbridge Island,PA,59985,PAA92796003
PAA48730756,PAA67638058,1270 Dorman Bend,125 Pierpoint Bridge,Trenton,PA,38800,TC3293-5600
PAA77596167,TC2137-3560,950 Skyline Stravenue,627 Hyde Park,Mesquite,PA,70817,TC3033-2821
PAA92178537,PAA15141236,Go Daddy,908 Striped Bass Loop,New Castle,PA,61193,TC7286-9125
PAA51034562,TC1652-1529,1308 Pennington Hills,1126 Omar Shore,Fort Pierce,PA,79368,PAA62505782
PAA62621043,PAA18881619,904 Van Dyke Mall,581 Pagoda Road,Eden Prairie,PA,95327,PAA32640837
PAA25451499,TC3701-9884,1306 Lysette Canyon,36 Russ Field,Gastonia,PA,05749,TC5830-8497
PAA19067876,TC8673-8419,424 Wall Extension,754 Dutton Ranch,Marana,PA,87733,TC3778-6243
PAA41988469,TC9859-3450,Gillette,472 Germania Street,Greenville,PA,48116,PAA95515985
PAA66805748,PAA67635556,Lee,387 Dr Tom Waddell Point,Glendora,PA,25148,TC4020-7348
PAA91507845,TC9119-4239,267 Euclid Cove,324 Mcrae Hill,Hamilton,PA,64966,TC0837-8169
PAA83791028,TC1415-4538,184 Humboldt Run,1181 Mary Teresa Arcade,O'Fallon,PA,08703,PAA49563905
PAA28081790,PAA81871950,223 Miramar Drive,1101 San Jose Cove,Martinsburg,PA,58117,PAA59806259
PAA94351183,PAA17529306,L&L Hawaiian Barbecue,479 Bennington Road,New Britain,PA,06466,TC0699-1771
PAA52443826,PAA07876474,533 Winn Motorway,123 Graham Row,Eastlake,PA,21988,PAA26503092
PAA19835679,PAA51666715,458 Zeno Park,890 Lettuce Viaduct,Corpus Christi,PA,00766,PAA65426825
PAA67789947,PAA19507203,431 Divisadero Estate,677 Harkness Bridge,Vestavia Hills,PA,69220,TC0644-4587
PAA37029811,PAA10383013,1006 North Circle,204 Crestmont Bridge,Lemoore,PA,82048,TC3991-9046
PAA28275811,TC9738-0280,11 College Green,1349 Cleary Station,Deerfield Beach,PA,58183,TC9570-6874
PAA54061720,PAA37320371,314 Prentiss Crescent,1042 Starr King Park,Tallahassee,PA,50639,TC7194-9706
PAA73139817,PAA51052896,533 Banks Lake,681 Bernice Bayou,Menasha,PA,83737,TC7915-5341
PAA07332658,PAA15646858,One-Up Realtors,277 Potrero Gardens,Independence,PA,74992,PAA90474870
PAA01664196,PAA71197421,1334 Clarion Motorway,1332 Minna Walk,Trenton,PA,66076,PAA75048711
PAA51467358,PAA31970127,DynCorp International,415 Ambrose Bierce Place,Corsicana,PA,04431,PAA72422095
PAA66627081,PAA16057154,Home City Ice Co.,512 Iris Lake,Sevierville,PA,12858,PAA54540250
PAA21665045,TC8153-4665,1061 Towerside Green,499 Commonwealth Hills,Seymour,PA,55011,PAA28533737
PAA90179833,PAA96627123,American Home Mortgage,736 Bayview Park Court,Muskego,PA,19013,TC3218-4692
PAA10078045,PAA11532377,1274 Hampshire Freeway,92 Argonaut Annex,Santa Maria,PA,15011,TC2471-5676
PAA74015376,PAA48405106,1123 Jamestown Estate,840 Lapu-Lapu Glen,Haverhill,PA,32245,TC5920-7594
PAA11756916,PAA57248147,Komerci,481 Clairview Alley,Hilton Head Island,PA,78597,TC0779-4886
PAA57809586,PAA12032220,289 Vara Avenue,178 Sunbeam Lane,Sugar Land,PA,49687,TC6793-0918
PAA68932066,PAA25401632,932 Wool Terrace,623 Sanches Stravenue,Buena Park,PA,83389,TC3297-1910
PAA92366222,PAA13710711,Johnson Controls,467 Addison Freeway,Norman,PA,32275,TC8795-1239
PAA41921546,TC7916-6849,Specific Appraisals,1158 Navy Court,Mesquite,PA,21254,TC7632-9071
PAA33695776,TC9873-4169,644 Bernice Place,1220 Leona Route,Prior Lake,PA,04362,TC5416-4019
PAA63743871,TC7145-1624,Snap-on Tools,1185 Buchanan Road,Tulsa,PA,26602,TC5176-2257
PAA75742772,TC7258-4307,671 Wallace Drive,1247 Redwood Stravenue,Muncie,PA,70950,PAA80660620
PAA91424704,TC7434-0404,84 Smith Rapids,1223 Beale Loop,Odessa,PA,37453,PAA16870747
PAA29019411,TC6956-1334,1006 Camp Grove,1015 Clinton Loop,New Iberia,PA,32835,TC8764-5228
PAA33872040,PAA38803837,Kenexa Corporation,568 Fair Oaks Avenue,Perrysburg,PA,97672,TC5635-4171
PAA80984379,TC2617-1994,Global Insight,1038 Ellert Path,Sanger,PA,26063,PAA40308100
PAA97946432,TC4892-8781,Body Toning,43 Bowman Lane,Annapolis,PA,17404,TC6352-6125
PAA52786164,PAA22265835,113 Kohler Loop,377 Church Walk,Grove City,PA,13142,TC6706-7004
PAA49868092,TC7447-2563,430 Kern Turnpike,807 Letterman Junction,Twentynine Palms,PA,85849,PAA58992701
PAA35489061,TC1980-5349,Eli Lilly and Company,569 Everglade Row,Laguna Woods,PA,96047,PAA46361695
PAA77328670,PAA75818121,Cut Above,977 Chestnut Avenue,New Albany,PA,52311,PAA34566826
PAA83133209,PAA97354646,Matrix Interior Design,242 Giants Turnpike,Trotwood,PA,01121,TC0044-2058
PAA65798948,TC3113-7608,1195 Dublin Junction,1267 Acadia Freeway,Morristown,PA,70577,PAA26721904
PAA62198141,TC2367-8392,232 The Block Mall,102 East Beach Stravenue,Duarte,PA,17002,TC0457-8625
PAA09683315,PAA20057413,224 Piedmont Motorway,583 Adolph Sutro Street,Ashwaubenon,PA,78230,PAA08822834
PAA03732534,PAA79614843,602 Hooper Grove,1368 Josiah Mews,Eagle Mountain,PA,67482,TC8500-4392
PAA01775586,PAA45914991,Target Realty,448 Ironwood Bridge,Bothell,PA,13712,PAA33950547
PAA34361690,PAA93270049,Acuserv,871 Davidson Drive,West New York,PA,18958,PAA43390854
PAA75267008,TC2640-6937,Iron Mountain,261 Potrero Hills,Worcester,PA,82861,TC2286-4293
PAA74275730,PAA24938363,426 Richard Henry Dana Bend,309 Head Hills,Davis,PA,34698,TC7774-0155
PAA33423279,PAA56122391,537 Ironwood Court,1297 Kelloch Place,San Pablo,PA,83994,PAA45573580
PAA30159832,PAA01897961,1309 Rawles Grove,589 Mary Teresa Point,Hopewell,PA,56762,TC4229-3412
PAA94868838,PAA88690178,1325 Trinity Estate,999 Mersey Spur,West Bend,PA,76118,TC6612-5487
PAA35694995,PAA28509413,Del Monte Foods,1364 Mississippi Canyon,Modesto,PA,87372,PAA03037971
PAA25660886,TC5492-0438,Gentiva Health Services,78 Lupine Viaduct,Wylie,PA,51276,PAA20195584
PAA36186815,TC4342-3899,Sprint Nextel Corporation,1262 South Hill Green,El Paso,PA,82850,TC5042-4174
PAA67812835,TC9049-1736,304 Levant Court,521 Colin Run,Westlake,PA,77623,TC2779-4040
PAA36806805,PAA33877132,584 Greenspring Crescent,664 Double Rock Junction,Arvada,PA,47981,PAA28346688
PAA24831754,PAA24111623,593 Culebra Walk,856 Webb Mews,Salisbury,PA,91214,PAA74578010
PAA56598471,PAA18813888,American Broadcasting Company,1373 Spofford Highway,Bergenfield,PA,48846,PAA15049365
PAA77742452,PAA71241146,Becton Dickinson,537 Gibbon Path,Cottonwood Heights,PA,91692,TC9559-7268
PAA56466653,TC5924-7935,798 Cambridge Parkway,590 San Buenaventura Arcade,Johnson City,PA,01073,TC8703-9055
PAA29857392,PAA62757712,Magnavox,981 Transbay Hump Motorway,Annapolis,PA,67931,PAA16508889
PAA81825917,TC0533-4712,Del Monte Foods,285 Pelton Point,Aberdeen,PA,05902,PAA77617097
PAA17589397,PAA83222216,423 Homer Garden,1254 Lucky Center,Anacortes,PA,65694,PAA34406668
PAA92304076,PAA74992563,1315 India Road,99 Jack London Ferry,Massapequa Park,PA,03601,PAA23511821
PAA42556611,TC5040-9587,Intuit,1327 Pilgrim Arcade,Wheat Ridge,PA,46562,PAA09055162
PAA80493656,PAA27246139,Reliable Garden Management,507 Kendall Pass,West Chicago,PA,23660,PAA58070269
PAA16646143,TC8607-5886,Doculabs,541 Gellert Terrace,Talladega,PA,23627,TC5188-9566
PAA47885571,TC5479-5175,BMC Software,505 Skyline Extension,Indio,PA,39774,TC6242-9584
PAA32989500,PAA60037206,1320 College Extension,1005 Boyd Canyon,Victoria,PA,92618,PAA32695702
PAA59798928,PAA94154326,670 Wawona Creek,1003 Ora Turnpike,Toledo,PA,88349,PAA33384249
PAA60961978,PAA37913897,431 Rose Highway,247 Oshaughnessy Shore,Bay City,PA,79244,TC6049-6048
PAA90315751,PAA38106171,470 San Marcos Court,1131 Jersey Alley,North Las Vegas,PA,71304,PAA75171927
PAA33302338,PAA89988790,383 De Long Street,891 Harkness Motorway,Coconut Creek,PA,93108,TC7451-0222
PAA06885089,PAA42951915,295 Steiner Terrace,744 San Felipe Hill,Kirkwood,PA,81675,PAA38044620
PAA43181749,TC9915-9749,The Flying Hippo,949 Dunnes Court,Santa Cruz,PA,00284,PAA12766359
PAA62111438,TC1355-9818,ManCharm,1358 Canby Row,Campbell,PA,09426,TC4841-0844
PAA83987115,PAA38357941,178 Hangah Green,1004 Roscoe Pike,Streamwood,PA,90196,TC6886-9946
PAA37685474,PAA50240347,Jones Soda Co.,828 Carver Square,Poplar Bluff,PA,93732,TC9915-9070
PAA32252881,PAA95860623,335 Flood Gardens,149 Ortega Pine,San Juan Capistrano,PA,83906,TC4640-2340
PAA19630855,PAA80360849,1114 Summit Spur,669 Johnstone Road,Lafayette,PA,27659,PAA89834388
PAA72360571,PAA07213368,319 Rossmoor Motorway,1070 Woodside Park,Port Chester,PA,46397,PAA18456886
PAA46024411,TC0630-1476,1329 Uranus Green,910 Ashburton Route,Madison,PA,23438,TC8132-8923
PAA48873208,PAA55215604,Plan Smart Partner,1268 Battery East Station,Aiken,PA,85784,PAA40017539
PAA84085696,PAA10925751,1057 East Parkway,527 Al Scoma Street,La Habra,PA,78974,TC1360-9063
PAA57530476,TC3675-6871,Pfizer,927 Sea View Plaza,Aurora,PA,24044,TC1404-5322
PAA61828267,PAA67198393,689 Anderson Center,1190 Loomis Glen,Coalinga,PA,05244,TC3077-2542
PAA25371215,PAA35932431,American Broadcasting Company,898 Sutro Heights Pass,Coalinga,PA,47932,TC3467-6118
PAA77216905,TC4986-9352,VMware,770 Nido Center,Redondo Beach,PA,15571,PAA20617601
PAA54953855,PAA11043944,886 Cecilia Pine,559 Chester Path,Clearfield,PA,93666,PAA01610467
PAA20609731,PAA47919562,Berry Plastics,979 Ford Trace,New Britain,PA,83090,PAA59055887
PAA09042992,TC2405-0710,316 Ocean Spur,649 Cesar Chavez Field,Joplin,PA,73614,TC6668-0626
PAA66195033,PAA85147176,AMETEK,490 Santa Monica Bayou,Fargo,PA,44041,PAA53570889
PAA63354650,TC3902-9846,269 Gloria Spur,144 Lansdale Gardens,Gilroy,PA,70620,PAA87765624
PAA98533175,PAA84550782,Amerigroup,563 Butte Pine,Clearwater,PA,92886,PAA54296975
PAA03137012,PAA57529861,Miro Technologies,777 Park Hill Run,Missoula,PA,77217,PAA27615346
PAA88660411,TC8067-7717,Watco Companies,1110 Entrada Place,Warner Robins,PA,79065,PAA29482745
PAA34705072,PAA70520564,Dollar Tree,1195 Tampa Parkway,Novi,PA,73255,PAA92061995
PAA91016095,TC3776-9921,Carnival Cruise Lines,594 Oreilly Viaduct,Kettering,PA,76776,PAA96817413
PAA10743855,PAA42352800,Flexus,227 Plum Hills,Lackawanna,PA,13548,PAA00298460
PAA88825779,TC2405-6648,Earthworks Garden Kare,1087 Ora Loop,Monterey Park,PA,94450,TC0058-5367
PAA33417746,TC5803-1146,1362 Moultrie Shore,592 Diaz Court,Ansonia,PA,74010,TC1030-4113
PAA49986629,PAA79440990,1322 Amador Pike,418 Dorland Viaduct,Brookings,PA,93171,PAA81577814
PAA00323049,TC4510-2028,American Express,664 Hester Spur,Kingston,PA,10263,TC0521-7053
PAA90309996,TC2338-7337,Dick's Sporting Goods,1228 De Soto Canyon,Nicholasville,PA,84965,TC4425-0346
PAA45024671,PAA81067352,AECOM,1013 Steveloe Path,Revere,PA,60928,TC8486-8727
PAA51930771,PAA40274499,Colgate-Palmolive,92 Coleridge Row,Laguna Hills,PA,50889,TC6464-1944
PAA48169942,PAA28660896,1213 Duboce Center,63 Fowler Motorway,Alton,PA,67960,PAA39212575
PAA00410093,PAA62335636,723 Grenard Freeway,907 Balmy Motorway,Mint Hill,PA,83096,TC4804-0936
PAA06749449,TC1679-9070,1264 Gaven Bend,663 Tompkins Viaduct,Marysville,PA,86320,PAA80469257
PAA08242572,TC3232-8485,683 Henry Adams Highway,1257 Recycle Parkway,Altamonte Springs,PA,38855,PAA11983665
PAA77276375,PAA09841511,Ejecta,765 Juniper Bridge,McAllen,PA,26097,TC6546-1803
PAA27796941,PAA53678902,149 Torrens Pike,223 Harvard Station,Minot,PA,84975,PAA27869644
PAA54525138,TC2135-2682,1121 Dakota Spur,1108 Sloat Shore,O'Fallon,PA,01661,TC1495-9787
PAA10573653,TC6624-8143,1317 Stillings Extension,226 Via Ferlinghetti Freeway,Starkville,PA,42259,PAA63881641
PAA29812618,TC8308-1265,193 Letterman Avenue,1049 Millwright Cottage Access Grove,West Fargo,PA,52046,PAA71359276
PAA73831695,PAA27508551,1289 Lendrum Road,1043 Sea View Shore,Newton,PA,16870,PAA19306928
PAA21396684,TC0570-0324,1038 Battery Wagner Ranch,463 Staples Mall,Ottawa,PA,95241,PAA74513150
PAA32594088,TC0976-3983,367 Randolph Circle,203 Wheeler Glen,Oxford,PA,14066,PAA78026465
PAA43915063,PAA05994305,AmerisourceBergen,218 Birmingham Bypass,Sioux Falls,PA,62354,TC2628-4482
PAA65346783,TC7379-5453,General Dynamics,972 Selby Extension,Bethlehem,PA,35558,TC3191-6460
PAA37884070,TC4957-0372,Megatronic,1043 South Van Horn Stravenue,Pleasantville,PA,28069,TC8736-5575
PAA09798592,PAA02889765,Star Bright Investment Group,426 Miraloma Trace,Baton Rouge,PA,34474,PAA45299247
PAA19749165,PAA56789638,1373 Fairfax Annex,1088 Rhine Ranch,Blue Springs,PA,87633,PAA79397693
PAA59930173,PAA08545893,Nutri G,658 Pollard Center,Cleburne,PA,34327,TC5780-1198
PAA34113432,PAA78169866,Signa Air,1214 View Bend,Wichita Falls,PA,90390,TC2925-3779
PAA38773816,PAA78694137,Gentiva Health Services,796 Mount Vernon Station,Seymour,PA,08721,TC1928-3039
PAA08189644,PAA63010452,Avon Products,44 Timothy Pflueger Junction,Bradenton,PA,41119,PAA36414206
PAA70838813,PAA25402663,1264 Swiss Plaza,170 Infantry Loop,Erlanger,PA,79664,PAA15605490
PAA65635573,PAA53591202,Architectural Genie,1068 Bancroft Loop,Salem,PA,35484,PAA65856134
PAA39854922,TC2029-5906,Applebee's,894 Rebecca Hill,Peekskill,PA,61449,TC9045-2202
PAA91843023,PAA41757666,1278 Vega Ferry,617 Bonnie Brae Junction,Grand Rapids,PA,94229,PAA60548946
PAA76244794,PAA56532609,Omni Realty,841 Mulford Point,Galveston,PA,04389,PAA77830609
PAA10017735,PAA66343046,812 Landers Pass,1122 Cordelia Turnpike,Atlantic City,PA,11255,TC7684-1284
PAA75313640,TC6273-0824,484 Avery Stravenue,1242 Colonial Park,Wadsworth,PA,31314,TC0478-5399
PAA84311102,TC7724-8917,Danaher,955 Barcelona Loop,Caldwell,PA,79269,PAA10195029
PAA77075413,TC8150-4068,Louisiana Pacific,1023 Waldo Loop,Southgate,PA,56577,TC4891-5339
PAA83647322,TC3152-3766,41 Auburn Freeway,847 Santa Marina Turnpike,Westerville,PA,19764,TC3499-0453
PAA96692109,TC7498-3419,1268 Marston Bridge,598 Fair Landing,Cornelius,PA,76428,PAA33713905
PAA98165579,TC1232-7278,Road Runner Lawn Services,582 Bonview Rapids,Bainbridge Island,PA,15656,PAA23764175
PAA69659056,PAA31744189,Belk,1291 Loomis Trace,Parker,PA,94688,TC2585-2167
PAA50079004,PAA93852845,929 Salmon Plaza,691 Rosemary Grove,Wilkes-Barre,PA,23398,PAA26137684
PAA90587608,PAA63615479,537 Lapham Alley,238 Reed Manor,Newberg,PA,93082,TC3061-3746
PAA51699505,TC1738-6732,QVC,1344 Carrie Cove,Chambersburg,PA,69512,TC9766-1838
PAA60959345,TC6919-1293,DuPont,1317 Briarcliff Trace,Douglas,PA,51772,TC7832-6492
PAA87442636,PAA97218967,1273 Mendell Road,1272 Shields Alley,New Philadelphia,PA,65514,TC3135-0531
PAA10105882,PAA46057635,Starbucks,646 Moulton Ranch,Douglas,PA,23274,TC9819-0244
PAA40337313,TC9406-5278,1263 Breen Ferry,848 Cascade Heights,Midland,PA,04442,PAA26928118
PAA51372673,TC4339-1422,820 San Aleso Crescent,204 Worcester Trail,Rosemead,PA,47452,TC3218-5101
PAA62135031,TC5936-0325,98 Washington Crossing,615 Bayside Route,Aberdeen,PA,80713,PAA61307383
PAA92283106,TC4636-8104,Magna Solution,1327 Northridge Place,Missouri City,PA,42143,PAA19541663
PAA59115423,PAA70634043,Practi-Plan Mapping,236 Hillcrest Plaza,Decatur,PA,87954,TC2631-2835
PAA40104242,TC0059-3278,235 Cerritos Lane,225 Ord Point,Marlborough,PA,16649,TC1557-5196
PAA57890851,PAA50958942,1157 Sylvan Terrace,261 Paulding Station,Temple City,PA,27102,TC6580-2226
PAA74396676,TC3073-9499,860 Lendrum Ferry,1117 Bruce Plaza,Northport,PA,22164,TC1256-7415
PAA59652238,TC6918-8229,Target Source,100 Brown Place,Simi Valley,PA,97590,PAA31311150
PAA24813146,PAA69323118,803 Rome Field,826 Kobbe Crossing,Flint,PA,40043,PAA49588836
PAA33976878,PAA82872936,183 Butte Motorway,473 Gladstone Motorway,Cambridge,PA,68961,PAA35253294
PAA53737090,TC3724-2361,553 Randolph Field,187 Redwood Street,Edmond,PA,89984,TC8792-1843
PAA69686478,TC9774-2451,Vivitar,279 Ardenwood Garden,Massillon,PA,73347,TC2967-9898
PAA62568479,TC2663-7461,601 Washburn Extension,357 Ninth Boulevard,Woburn,PA,56393,PAA91307397
PAA68339555,PAA35016845,Service Corporation International,546 Pacific Green,San Gabriel,PA,38912,TC3389-4625
PAA96046074,PAA43824259,ACCO Brands,879 Bonifacio Manor,San Fernando,PA,60158,TC7724-3068
PAA45857940,PAA27220015,300 Rico Path,1059 Presidio Shore,De Pere,PA,29368,PAA13603201
PAA14904951,PAA90700024,1030 Bennington Pass,1118 Bonita Lake,Camden,PA,59630,TC6977-8060
PAA28470375,TC2179-7728,Danaher,802 Abbey Pike,Rancho Cordova,PA,38108,PAA39664662
PAA41571252,TC2311-5188,Magna Gases,815 Rosella Pike,Chaska,PA,01777,PAA74567968
PAA84734606,TC0935-4695,534 Avery Canyon,863 Crestwell Pass,Lauderhill,PA,29017,PAA44879656
PAA62249487,PAA39841211,Avant Garde Appraisal Group,1035 Laura Heights,Buffalo,PA,84084,PAA48521500
PAA35789246,TC3669-7237,Fidelity Investments,817 Lendrum Boulevard,Martinsburg,PA,13609,TC8622-2193
PAA84573428,PAA40108061,1280 Keppler Motorway,1013 Concord Stravenue,Rexburg,PA,05168,TC3863-1282
PAA74109210,PAA29231115,671 Holloway Row,826 Malden Ferry,Schaumburg,PA,81469,PAA10870985
PAA17198932,PAA88970254,Giant Food,500 California Highway,Bullhead City,PA,75862,PAA23229366
PAA11303013,TC5219-4905,Belk,1352 Cambon Expressway,Oakland Park,PA,58522,TC3975-9639
PAA70559753,TC8987-8793,963 Bird Avenue,1397 Onique Ferry,St. Charles,PA,34478,PAA32151424
PAA56288995,TC8430-5949,193 Tomaso Garden,1138 Marine Park,Cocoa,PA,20351,TC7663-7108
PAA43580874,PAA04793619,Burlington Coat Factory,421 Linares Freeway,Frankfort,PA,15017,TC8248-7298
PAA02353529,PAA03710916,Kenworth,1018 Cassandra Pass,West Covina,PA,00682,TC2212-5391
PAA65475879,PAA19245261,972 Terra Vista Lake,1388 Goldberg Grove,Cudahy,PA,02369,PAA92913519
PAA67961096,TC4825-7552,Monmax,741 Ford Loop,Lackawanna,PA,57191,TC9407-6746
PAA69620653,TC4976-6982,1240 Blair Parkway,1118 Liebig Station,Bedford,PA,36644,TC8550-5401
PAA13078654,TC3819-7381,BJ's Wholesale Club,1072 Rizal Ranch,Carrboro,PA,33788,TC3293-0566
PAA10402668,TC2687-9196,Gentiva Health Services,67 San Benito Spur,Lynchburg,PA,07167,PAA92702053
PAA79300213,PAA10837826,1245 Gillette Row,1028 Sunset Estate,Brownsville,PA,00836,PAA42825468
PAA41959720,TC6442-9033,Nortax,990 Espanola Landing,Aventura,PA,29166,TC7328-3368
PAA03342936,PAA06746300,1267 Iron Lake,964 Tillman Pine,Nicholasville,PA,80442,TC8185-3615
PAA23496020,PAA70084485,DISH Network,957 Pershing Mews,Poway,PA,39125,PAA94622357
PAA71201877,PAA69552041,721 Dutch Windmill Access Square,714 Miles Bend,New Hope,PA,33749,PAA42137896
PAA94689218,PAA26975877,298 Barneveld Pine,1278 Castle Manor Trace,Champaign,PA,21365,PAA12855432
PAA83307332,PAA42568950,550 Oriole Rapids,1052 Auburn Stravenue,Bradenton,PA,49276,PAA24163563
PAA09347924,PAA60285530,855 Rockland Center,307 Old Chinatown Bend,Michigan City,PA,93375,PAA73010425
PAA07548670,TC6897-4565,Total Serve,824 La Bica Shore,Pleasanton,PA,15714,PAA88956225
PAA13717373,TC3514-1598,Sunny Real Estate Investments,617 Blandy Terrace,Laguna Woods,PA,60140,TC1288-6829
PAA35735461,TC8996-0892,28 Cotter Boulevard,1237 Valley Mall,Fontana,PA,57827,PAA55854963
PAA41474279,PAA50925779,865 Rivas Heights,666 Otsego Court,Flagstaff,PA,49878,PAA43227784
PAA94679639,TC8602-8056,UTStarcom,1268 Forest View Court,Buena Park,PA,55437,PAA60553660
PAA69010182,TC5814-3210,572 Patten Turnpike,487 Westwood Bypass,Hamtramck,PA,65968,TC8722-1193
