lihtc_project_id,normalized_state_id,latitude,longitude,census_tract,census_tract_2000,county_fips_code,municipality_fips,hud_property_name,property_street_address,city,state,zip_code,units,assisted_units,count_0br,count_1br,count_2br,count_3br,count_4br,federal_id,state_id,lihtc_credit,lihtc_construction_type,lihtc_year_allocated,lihtc_year_in_service,lihtc_amount,fmha_514_loan,fmha_515_loan,fmha_538_loan,scattered_site_ind,geom,geom_webmercator
PAA39592500,PAA41977453,40.45546122426609,-80.10119013657332,42037111345,42000781640,42006,2566310,678 Crestwell Road,1265 Lansdale Alley,Brunswick,PA,60624,138,488,343,95,85,46,48,PAA62771781,TC3696-4084,30 percent present value,Acquisition and Rehab,2005,1992,None,True,True,,N,POINT (4503481.343292325 -15603907.476179047),POINT (4503481.343292325 -15603907.476179047)
PAA18761946,PAA59377522,40.306886682711855,-79.96414812958992,42031150652,42000203498,42007,2522148,1366 Lansdale Bypass,446 Circular Loop,Logan,PA,42421,39,291,330,138,20,2,8,PAA97775274,PAA93655909,None,Acquisition and Rehab,1995,2000,None,True,True,False,N,POINT (4486942.100981664 -15515768.457294427),POINT (4486942.100981664 -15515768.457294427)
PAA07083508,PAA85601139,40.550643579887115,-79.98626232345921,42048507724,42009122358,42002,2256259,750 Chabot Field,45 Stoneman Pine,Aberdeen,PA,27949,382,557,286,167,6,78,51,PAA00480347,TC0665-7354,None,Acquisition and Rehab,2007,2017,None,,,False,N,POINT (4514076.994652562 -15529910.35684827),POINT (4514076.994652562 -15529910.35684827)
PAA68089912,PAA47624097,40.38949499177065,-79.78519093700528,42084811804,42034387524,42003,0168719,797 Eucalyptus Route,622 Ohlone Stravenue,Alliance,PA,70018,37,275,288,160,76,91,67,PAA57426175,TC2261-6291,30 percent present value,Acquisition and Rehab,2006,1982,None,,,,Y,POINT (4496138.015881381 -15402448.106714718),POINT (4496138.015881381 -15402448.106714718)
PAA27401439,TC0451-5351,40.48649617182158,-80.26837963848767,42007339537,42092850025,42002,9641360,Seattle's Best Coffee,1185 Wilson Glen,Hays,PA,48989,363,288,362,58,41,39,69,PAA38244028,TC6937-4388,30 percent present value,New construction,2020,1999,None,True,False,,N,POINT (4506936.137850998 -15713086.628596036),POINT (4506936.137850998 -15713086.628596036)
PAA54001472,PAA94634193,40.28383509497005,-79.89317458815809,42034137519,42057312730,42004,4045417,706 Grafton Lake,1199 Concourse Freeway,Gainesville,PA,08339,391,279,168,59,79,35,2,PAA61718421,PAA28169495,30 percent present value,New construction,2009,2001,98714,True,,False,Y,POINT (4484376.00997227 -15470588.721990649),POINT (4484376.00997227 -15470588.721990649)
PAA57882558,PAA53270654,40.46076216906987,-79.85384180607532,42042787955,42067899381,42000,4612678,711 Joice Station,899 Aquavista Path,Henderson,PA,03845,479,192,101,27,42,27,4,PAA30674473,TC2579-6451,Both,Acquisition and Rehab,1995,2022,50035,True,True,True,Y,POINT (4504071.441768605 -15445685.62135936),POINT (4504071.441768605 -15445685.62135936)
PAA57489197,TC9095-4534,40.28280824737855,-79.8898123677614,42083941852,42072345879,42009,3935273,Edge Garden Services,792 Museum Center,Woodridge,PA,16977,145,312,215,99,70,47,41,PAA94546842,PAA85029849,Both,Acquisition and Rehab,2004,1995,22296,True,True,False,Y,POINT (4484261.701821261 -15468456.225252233),POINT (4484261.701821261 -15468456.225252233)
PAA69964909,PAA54344034,40.536325246153794,-80.27035105095042,42070718740,42006365807,42001,9725316,The Liberty Corporation,1285 Northpoint Garden,Sarasota,PA,38016,390,130,65,164,32,61,28,PAA86408301,PAA05249346,None,New construction,2017,2004,None,,True,False,Y,POINT (4512483.085032361 -15714385.062647754),POINT (4512483.085032361 -15714385.062647754)
PAA22561199,TC9580-0977,40.67030633020706,-79.97858185810955,42001326257,42061135847,42009,1944170,608 Blanche Loop,254 Waverly Walk,Waterbury,PA,47966,115,488,97,78,83,6,34,PAA61627636,TC6915-0244,70 percent present value,New construction,1994,1992,92594,,False,True,N,POINT (4527397.791085101 -15524995.242999896),POINT (4527397.791085101 -15524995.242999896)
PAA53693487,PAA31611558,40.39802222850298,-80.26225059064032,42051663475,42030212886,42008,9696834,Louisiana Pacific,302 Progress Station,Santa Ana,PA,67486,299,585,203,170,27,63,58,PAA85728335,TC9237-7205,70 percent present value,New construction,1986,1991,None,,True,False,Y,POINT (4497087.263532299 -15709051.508788181),POINT (4497087.263532299 -15709051.508788181)
PAA29213146,PAA42703481,40.223957779715725,-79.80629847493343,42058951736,42034331882,42009,2054940,Apple Inc.,827 Bache Route,Urbana,PA,02478,680,320,275,74,25,66,69,PAA14836652,PAA12385378,30 percent present value,New construction,2003,1999,None,,,,Y,POINT (4477710.497728089 -15415711.314679405),POINT (4477710.497728089 -15415711.314679405)
PAA29981094,TC2569-9428,40.4554720221713,-80.21933857903755,42070148914,42079061865,42005,6774789,1163 Upton Rapids,309 Stilwell Highway,Sebastian,PA,18603,664,372,392,101,98,81,25,PAA81732486,TC8914-1484,None,New construction,2001,2010,None,True,True,False,Y,POINT (4503482.545309635 -15680870.211828904),POINT (4503482.545309635 -15680870.211828904)
PAA91536719,PAA03852311,40.433981237368826,-79.92993439489683,42039641025,42010150034,42001,9361233,958 Rosella Ferry,1052 Fenton Turnpike,Kennesaw,PA,93430,162,97,40,8,32,14,47,PAA75171079,PAA85066703,70 percent present value,Acquisition and Rehab,1996,1988,13475,False,True,True,N,POINT (4501090.202088675 -15493949.627975395),POINT (4501090.202088675 -15493949.627975395)
PAA06407945,TC3912-0515,40.40471300401914,-80.18817359374974,42075604723,42072994506,42004,5419862,Beazer Homes USA,113 Mount Vernon Glen,San Francisco,PA,85408,29,431,209,9,85,72,34,PAA64257453,TC9925-6703,None,New construction,2002,2011,39551,,False,,Y,POINT (4497832.07725577 -15660480.101878824),POINT (4497832.07725577 -15660480.101878824)
PAA98131351,PAA05527615,40.499995856868225,-79.91919608328506,42093979246,42014391354,42002,1463991,ManCharm,331 Lapu-Lapu Junction,West Sacramento,PA,91982,243,321,42,199,43,64,72,PAA05610283,TC3225-5652,70 percent present value,Acquisition and Rehab,1984,2022,57142,,,,Y,POINT (4508438.91591626 -15487116.70243306),POINT (4508438.91591626 -15487116.70243306)
PAA36899454,PAA20425785,40.61378742789962,-79.95210534342174,42058007979,42051175742,42006,0381853,Golden Joy,1098 Olmstead Walk,Schenectady,PA,06771,207,307,69,75,15,79,30,PAA30086688,PAA01580091,70 percent present value,New construction,2002,1984,None,True,True,,Y,POINT (4521106.135660041 -15508080.130873768),POINT (4521106.135660041 -15508080.130873768)
PAA08182609,TC6190-6752,40.57783951030031,-79.86635259823653,42096328661,42090708695,42007,6947533,Rite Solution,431 Shipley Turnpike,Bell,PA,36650,298,430,169,164,98,90,21,PAA94907233,PAA03312113,None,New construction,2014,1986,86022,True,False,False,Y,POINT (4517104.431777808 -15453596.310293647),POINT (4517104.431777808 -15453596.310293647)
PAA74108545,TC9287-6869,40.51986835072722,-79.97623869428894,42069260947,42003701473,42007,8732017,527 Hotaling Square,1314 Marlin Path,Fort Lauderdale,PA,33936,586,128,72,18,12,43,33,PAA31130307,TC3384-9426,Both,New construction,1987,2014,None,False,True,False,N,POINT (4510651.111813436 -15523496.477538085),POINT (4510651.111813436 -15523496.477538085)
PAA91354066,PAA39372289,40.59640361799783,-79.76219561498138,42076847212,42002001565,42002,7690263,252 Battery Caulfield Plaza,376 Ninth Run,West Sacramento,PA,73368,333,237,286,150,74,53,57,PAA42566252,TC7186-3135,30 percent present value,Acquisition and Rehab,1991,1983,None,False,True,True,N,POINT (4519170.978793727 -15388029.5104867),POINT (4519170.978793727 -15388029.5104867)
PAA78405244,PAA02060733,40.560161386731494,-79.78791154847939,42022162712,42023053078,42008,7422933,401 Walter U Lum Viaduct,715 Second Annex,South San Francisco,PA,89809,221,474,36,39,50,31,63,PAA75482469,TC8231-4576,30 percent present value,New construction,1989,1988,10188,True,,True,Y,POINT (4515136.512063947 -15404156.1167718),POINT (4515136.512063947 -15404156.1167718)
PAA15671562,PAA22674107,40.568395395787704,-80.1015664075971,42067105040,42083379997,42004,5165177,Electronic Geek,647 Temescal Loop,Southgate,PA,18178,215,408,342,191,92,8,72,PAA99917928,PAA21593825,None,New construction,2006,1983,46574,False,True,,Y,POINT (4516053.1177592715 -15604151.135180043),POINT (4516053.1177592715 -15604151.135180043)
PAA44422182,PAA89388814,40.439119543365635,-79.81429452268777,42088120934,42099022841,42004,3543474,Johnson & Johnson,1053 King Crossing,Torrington,PA,47747,62,366,243,102,32,17,50,PAA48803968,TC3712-0254,30 percent present value,New construction,1997,1991,None,True,False,False,Y,POINT (4501662.19569578 -15420742.837644875),POINT (4501662.19569578 -15420742.837644875)
PAA17361918,TC1516-3761,40.414195378629586,-80.01109588594562,42064650951,42043974724,42003,6243134,974 Candlewood Loop,1012 Menoher Rapids,Wylie,PA,16002,327,338,89,29,91,10,36,PAA39889622,PAA73743360,70 percent present value,New construction,2005,2008,None,False,,False,N,POINT (4498887.650368916 -15545828.171753554),POINT (4498887.650368916 -15545828.171753554)
PAA35951689,PAA10369912,40.50411668547517,-79.76133037317511,42028361982,42079711374,42009,9677769,Affinity Investment Group,1045 Larch Pine,Natchitoches,PA,95722,37,281,218,21,89,24,72,PAA08528602,TC1136-5362,Both,Acquisition and Rehab,1983,2009,None,,True,False,N,POINT (4508897.644458432 -15387487.609641451),POINT (4508897.644458432 -15387487.609641451)
PAA08915763,TC9594-5047,40.3631956342246,-79.97381045181608,42010782186,42066846059,42001,8218286,503 Stoneridge Arcade,265 Delaware Drive,Tupelo,PA,80705,680,526,355,175,93,67,61,PAA14609727,TC7549-8236,None,New construction,2022,2010,74160,False,False,True,N,POINT (4493210.384791166 -15521943.658784283),POINT (4493210.384791166 -15521943.658784283)
PAA95799020,PAA73884390,40.311260007791226,-79.99606898961841,42044013162,42040197802,42008,9236155,Monsanto Company,1040 Mansfield Court,Roanoke Rapids,PA,80752,146,310,31,198,79,28,24,PAA50186203,PAA87686669,70 percent present value,New construction,1991,2011,None,False,True,,N,POINT (4487428.937302573 -15536191.559581162),POINT (4487428.937302573 -15536191.559581162)
PAA91511849,TC6567-8450,40.228503957192125,-79.95823607953758,42077990204,42047015171,42005,0211575,580 Glen Spur,1177 Card Loop,Monroe,PA,88927,194,166,182,104,46,5,30,PAA68860594,PAA48812202,None,New construction,1994,2022,85848,,,False,Y,POINT (4478216.575889818 -15511992.960256096),POINT (4478216.575889818 -15511992.960256096)
PAA36659477,TC0148-6137,40.452032179761204,-80.080724046834,42008069667,42011708511,42005,6136169,1085 Hemdale Lane,692 Downey Heights,Elmira,PA,66919,279,97,290,109,30,25,25,PAA85615687,PAA47797798,None,Acquisition and Rehab,2004,2018,10773,False,,,N,POINT (4503099.623804133 -15590668.198489448),POINT (4503099.623804133 -15590668.198489448)
PAA35979878,TC7175-2894,40.438711782191,-80.24568069198435,42058103917,42015409963,42006,2260521,85 Northgate Point,698 Twin Peaks Run,Palatine,PA,57338,362,30,96,190,10,13,54,PAA01611329,PAA83171637,Both,New construction,1988,1996,67940,,False,,Y,POINT (4501616.803929455 -15698155.129591338),POINT (4501616.803929455 -15698155.129591338)
PAA01478122,PAA63353562,40.584222505432635,-79.87915172287656,42000447124,42094704647,42005,3422465,Vantec,1136 Dichiera Bayou,Orem,PA,19085,1,522,223,94,37,26,22,PAA90798928,TC7236-3801,70 percent present value,New construction,1984,2003,49029,False,False,False,N,POINT (4517814.983545674 -15461699.321800174),POINT (4517814.983545674 -15461699.321800174)
PAA70652826,PAA39268492,40.43524395322985,-79.9384752751771,42075813029,42038029274,42006,6361643,435 Fourth Viaduct,975 Devonshire Lodge,Poway,PA,77843,230,122,149,73,94,77,46,PAA55106329,TC8678-6854,Both,Acquisition and Rehab,2006,2007,None,,,True,N,POINT (4501230.766975341 -15499389.45039089),POINT (4501230.766975341 -15499389.45039089)
PAA66336084,TC7647-2279,40.63366172652645,-80.10330857526183,42083793776,42045439520,42006,5962257,Klipsch Audio Technologies,477 San Anselmo Field,Sheboygan,PA,61242,191,211,316,127,9,86,72,PAA46746832,TC3000-0407,Both,New construction,2001,2020,None,True,False,False,Y,POINT (4523318.532463053 -15605279.417143837),POINT (4523318.532463053 -15605279.417143837)
PAA88388787,TC0228-6540,40.531619953012104,-79.7277252106746,42042926692,42069946635,42001,7767072,Quincy Newspapers,1110 Harold Turnpike,Lauderhill,PA,96578,629,195,134,88,68,24,48,PAA61950184,PAA64353274,None,New construction,1990,2023,None,,False,,Y,POINT (4511959.2941957945 -15366475.675026115),POINT (4511959.2941957945 -15366475.675026115)
PAA27561419,PAA06187371,40.649997879992384,-79.74229425138957,42046550587,42042046814,42000,9765837,1285 Linares Trace,1117 Alvord Lodge,Trotwood,PA,09116,374,519,111,178,100,70,22,PAA87550721,TC9207-3309,30 percent present value,Acquisition and Rehab,1998,1994,70753,False,True,True,N,POINT (4525137.064748403 -15375576.73800364),POINT (4525137.064748403 -15375576.73800364)
PAA70179722,PAA16687844,40.630379079595805,-79.96586212283029,42006166162,42057290152,42001,8581293,1394 Arbor Boulevard,904 Waller Junction,Clearfield,PA,90775,119,488,16,89,30,23,59,PAA42323272,TC1451-2091,None,Acquisition and Rehab,2010,2015,79617,False,,,Y,POINT (4522953.10987828 -15516863.442931492),POINT (4522953.10987828 -15516863.442931492)
PAA34515806,TC1678-8055,40.56155629102272,-80.04623957293364,42039535770,42014629986,42001,5173029,232 Sturgeon Field,1092 Dukes Creek,Garner,PA,34736,547,585,229,39,38,75,18,PAA03845079,PAA20102403,Both,Acquisition and Rehab,2015,2017,33657,,False,False,N,POINT (4515291.792099351 -15568421.640508134),POINT (4515291.792099351 -15568421.640508134)
PAA83590990,PAA06098527,40.34084624026314,-80.18458999475489,42074378894,42026092771,42000,3987200,Multi Tech Development,457 Pelican Cove Bridge,New Berlin,PA,49188,365,291,36,43,38,28,27,PAA50215434,PAA99761132,30 percent present value,New construction,1984,2019,40627,True,False,,N,POINT (4490722.461635837 -15658139.596482586),POINT (4490722.461635837 -15658139.596482586)
PAA24318519,PAA31768544,40.4314581029083,-80.0038849451213,42028153113,42033817443,42005,1148163,GEICO,1178 Seventh Bridge,Laguna Niguel,PA,97990,619,54,172,123,49,35,36,PAA81874377,TC3239-5793,70 percent present value,New construction,2012,1997,None,False,True,False,N,POINT (4500809.328045327 -15541202.071403425),POINT (4500809.328045327 -15541202.071403425)
PAA79413298,PAA05861147,40.44329060306927,-79.73565766989621,42049372180,42087380807,42005,5185488,Electronics Source,489 Wills Turnpike,Zanesville,PA,07831,270,420,56,165,25,66,62,PAA89644939,TC9101-8996,Both,New construction,1987,1997,11778,False,,True,N,POINT (4502126.515938058 -15371429.379530229),POINT (4502126.515938058 -15371429.379530229)
PAA49913702,PAA26892927,40.419447797708514,-79.96674155121892,42086959316,42083434663,42009,4566152,458 Gardener Cove,1005 Harding Cove,North Canton,PA,55725,231,167,14,199,77,75,10,PAA40047858,PAA11370179,30 percent present value,New construction,2006,2014,29428,True,True,False,N,POINT (4499472.346986215 -15517425.338161787),POINT (4499472.346986215 -15517425.338161787)
PAA42349872,TC6193-8168,40.32287619416898,-80.12518075890398,42072860394,42034304408,42006,5572933,Avant Garde Interior Designs,966 Clipper Cove Parkway,Kinston,PA,42624,82,367,22,109,19,1,25,PAA56206477,TC3421-2936,Both,Acquisition and Rehab,2006,2011,80658,,True,True,Y,POINT (4488722.045255104 -15619461.279002765),POINT (4488722.045255104 -15619461.279002765)
PAA12877539,PAA30472731,40.57425712902827,-80.03625128178219,42096676650,42005927976,42000,4858920,Analog Devices,6 Apollo Highway,Winona,PA,97219,135,572,310,42,17,30,73,PAA84410346,TC8217-8526,None,New construction,2008,1999,None,False,False,False,Y,POINT (4516705.642918777 -15561992.262012897),POINT (4516705.642918777 -15561992.262012897)
PAA44888880,TC9730-1502,40.45409822440207,-80.3019738856922,42084313711,42055810460,42009,8047470,Towers Perrin,95 Holland Gardens,Oro Valley,PA,06154,343,426,302,183,55,73,11,PAA06174170,TC0846-7771,None,New construction,1990,1980,15572,False,,True,Y,POINT (4503329.614841511 -15735248.539946962),POINT (4503329.614841511 -15735248.539946962)
PAA95993627,TC9558-3770,40.36409974636723,-79.89152190174312,42015420978,42003458615,42000,8379858,Yahoo!,982 Severn Run,Gallatin,PA,66889,365,540,387,15,18,66,69,PAA59879702,PAA45663929,None,Acquisition and Rehab,2018,1986,52937,True,,False,Y,POINT (4493311.030094503 -15469540.413762227),POINT (4493311.030094503 -15469540.413762227)
PAA65871843,PAA10563878,40.36096344052931,-80.06515802648806,42018096842,42051017785,42001,8371134,Sequoia Voting Systems,727 Coldspring Highway,Jeffersonville,PA,12096,698,30,400,60,76,55,47,PAA17230192,TC7982-7469,Both,Acquisition and Rehab,1986,2008,92394,,False,,N,POINT (4492961.898125653 -15580616.812544592),POINT (4492961.898125653 -15580616.812544592)
PAA48120593,TC5820-2745,40.338715021485925,-80.02511980851082,42072489773,42008205856,42001,5185300,Netstars Matrix Design,549 Wallace Boulevard,South Bend,PA,65499,104,352,30,96,35,82,29,PAA25579519,TC9307-7956,None,New construction,2012,2003,None,True,False,,N,POINT (4490485.215446789 -15554834.539784614),POINT (4490485.215446789 -15554834.539784614)
PAA18668083,PAA72000637,40.20120762183112,-79.91349590574468,42073742112,42037054579,42003,3899965,Vitamax Health Food Center,966 Nancy Pelosi Ranch,Galt,PA,73706,133,433,273,25,30,70,18,PAA51817120,PAA11930984,30 percent present value,Acquisition and Rehab,2015,2007,None,,False,,Y,POINT (4475177.961736908 -15483492.532444756),POINT (4475177.961736908 -15483492.532444756)
PAA67490023,PAA00869561,40.66346771117136,-79.7577604473034,42005935784,42093857975,42008,4007992,106 Oliver Freeway,3 Industrial Hills,Burnsville,PA,63164,679,371,52,152,67,1,69,PAA14307460,PAA07088992,Both,New construction,2007,2016,63288,True,,True,N,POINT (4526636.519496317 -15385252.244461339),POINT (4526636.519496317 -15385252.244461339)
PAA81898991,TC7984-2046,40.57888755151748,-80.15598022079683,42026331191,42080247397,42001,1927270,Oracle Corporation,826 Horace Lodge,Melrose,PA,78056,327,586,128,161,46,53,37,PAA68297284,TC2266-0156,Both,Acquisition and Rehab,2001,2016,77725,True,,True,N,POINT (4517221.099192434 -15639484.384456217),POINT (4517221.099192434 -15639484.384456217)
PAA94316886,PAA53826745,40.479570012938126,-80.07114444509486,42093909576,42022755586,42009,3129655,Edge Yard Service,1308 Nimitz Extension,Harvey,PA,69903,249,302,292,81,100,11,60,PAA73436947,PAA99971936,70 percent present value,Acquisition and Rehab,2001,2019,None,,False,False,N,POINT (4506165.121370939 -15584480.55319382),POINT (4506165.121370939 -15584480.55319382)
PAA25839084,PAA38384156,40.52706619345257,-79.86220418690394,42012487671,42051344288,42000,0893664,528 Turk Trail,666 Rebecca Shore,Wildwood,PA,21072,270,124,117,121,56,30,56,PAA56775750,PAA01956462,30 percent present value,New construction,1984,1987,22849,,,False,N,POINT (4511452.372000432 -15450972.161198588),POINT (4511452.372000432 -15450972.161198588)
PAA86320076,PAA70095572,40.3010965381523,-79.94301384128882,42070178706,42025210777,42009,0151432,Wahl Clipper,1048 Freelon Mall,Walnut Creek,PA,29613,139,456,36,172,73,73,69,PAA78857119,PAA87106755,Both,Acquisition and Rehab,2022,1989,38077,False,False,True,N,POINT (4486297.545037675 -15502281.995092666),POINT (4486297.545037675 -15502281.995092666)
PAA95857360,PAA14802490,40.651332101445625,-79.94187341688905,42025842586,42095091738,42008,3516427,443 Marcela Bridge,121 Park Hill Crescent,Bremerton,PA,53929,544,424,92,27,23,9,27,PAA09147269,PAA26732206,30 percent present value,New construction,2000,1985,None,,True,,N,POINT (4525285.589601182 -15501555.05183464),POINT (4525285.589601182 -15501555.05183464)
PAA52723483,TC2534-9932,40.350265003415274,-80.08817731803036,42091016430,42023595544,42009,9034848,AK Steel Holding,731 Evelyn Crescent,Augusta,PA,03985,478,298,81,10,69,75,35,PAA24473898,PAA26248134,30 percent present value,Acquisition and Rehab,2019,2002,None,,True,True,N,POINT (4491770.953553835 -15595486.500163516),POINT (4491770.953553835 -15595486.500163516)
PAA19502015,PAA52651217,40.55549960034096,-79.98656671088118,42083415315,42026239749,42002,0038174,Realty Depot,82 Mckinnon Lane,Killeen,PA,99331,369,146,69,159,5,8,1,PAA38296202,TC4288-5533,Both,Acquisition and Rehab,2016,2006,61265,,False,False,N,POINT (4514617.564376765 -15530105.226442592),POINT (4514617.564376765 -15530105.226442592)
PAA92624347,TC9706-8648,40.32812519172362,-79.99343396209805,42059173119,42029436822,42007,8448828,894 Orben Turnpike,320 Beach Walk,Gresham,PA,37843,127,152,152,84,15,28,5,PAA69851660,TC9236-0895,Both,Acquisition and Rehab,2018,1982,410,,,False,Y,POINT (4489306.360990061 -15534503.216983596),POINT (4489306.360990061 -15534503.216983596)
PAA97377124,PAA14685377,40.64298672900333,-79.78817056290433,42094453038,42010160774,42003,2727968,The Lawn Guru,329 Sturgeon Expressway,Missoula,PA,90050,172,17,17,66,49,30,54,PAA28569276,TC3965-1708,30 percent present value,New construction,2019,1994,None,,True,False,N,POINT (4524356.586990426 -15404318.750466669),POINT (4524356.586990426 -15404318.750466669)
PAA69604711,TC9644-4919,40.464032293164536,-80.028308486588,42054338812,42090654131,42003,3321179,1370 Wool Annex,336 Anderson Path,Goodyear,PA,84181,122,181,329,165,27,84,26,PAA02045178,PAA32878084,None,Acquisition and Rehab,1990,1997,24210,False,False,False,N,POINT (4504435.470317653 -15556884.104355821),POINT (4504435.470317653 -15556884.104355821)
PAA03221879,TC5249-9038,40.6616570011133,-80.01688736761666,42057295203,42095744343,42000,8282659,Autodesk,164 Candlestick Point Sra Rapids,Madisonville,PA,37109,590,456,302,101,79,12,18,PAA05037668,PAA25437151,70 percent present value,Acquisition and Rehab,2019,1996,97912,False,True,False,Y,POINT (4526434.952174679 -15549546.02784453),POINT (4526434.952174679 -15549546.02784453)
PAA41803741,TC8536-0658,40.65939799682809,-79.88299746217466,42031905417,42030305803,42001,6123773,ONEOK,657 Auburn Avenue,Rochester Hills,PA,63259,277,174,31,90,22,19,47,PAA40955167,TC5815-2754,30 percent present value,New construction,1985,1982,57856,True,True,,Y,POINT (4526183.48096795 -15464136.006274415),POINT (4526183.48096795 -15464136.006274415)
PAA47563115,TC4130-2664,40.563101900612935,-79.87825956208445,42097044465,42076848928,42009,3439077,Dillard's,1127 Magellan Crescent,Garden City,PA,90879,107,77,166,100,36,60,6,PAA45229982,PAA93110033,70 percent present value,New construction,1981,1995,None,False,,True,N,POINT (4515463.848571899 -15461134.174076537),POINT (4515463.848571899 -15461134.174076537)
PAA25235391,PAA88291981,40.42043740317072,-79.84957483138277,42034181828,42095702895,42007,1948901,1248 Bertita Avenue,888 Ellsworth Grove,Lawndale,PA,78575,244,420,351,112,49,61,62,PAA93367379,PAA24200145,70 percent present value,New construction,1984,2023,None,,False,True,Y,POINT (4499582.509362354 -15442989.781266728),POINT (4499582.509362354 -15442989.781266728)
PAA57042184,TC4264-6675,40.631775441136774,-80.11559252874538,42024254108,42044306848,42003,7841846,1122 Colton Square,1145 Sacramento Route,Elizabeth City,PA,03362,330,47,281,20,93,45,35,PAA86136209,TC7621-3279,None,New construction,2006,2003,None,False,True,False,Y,POINT (4523108.552133985 -15613240.473225644),POINT (4523108.552133985 -15613240.473225644)
PAA42111931,TC4685-9941,40.42922993271688,-79.8797927267243,42008760335,42078318746,42003,0029823,377 Rosa Parks Gardens,642 Bannan Pass,North Olmsted,PA,80857,253,334,380,112,91,14,56,PAA08534531,TC2225-8105,Both,New construction,2004,1991,58180,,,True,Y,POINT (4500561.289274217 -15462105.40220867),POINT (4500561.289274217 -15462105.40220867)
PAA72401804,TC0874-8282,40.44934075592291,-80.24922706436635,42069327633,42059190850,42009,3480133,886 Rey Point,1125 Fella Road,Farragut,PA,70101,332,53,256,166,66,5,10,PAA36748720,PAA27924981,70 percent present value,Acquisition and Rehab,2022,2008,None,,False,True,N,POINT (4502800.015872946 -15700485.684412528),POINT (4502800.015872946 -15700485.684412528)
PAA27142174,PAA25128792,40.599228659905464,-79.9379023351923,42030022519,42042818313,42004,3440870,316 Earl Pike,1004 Gold Pike,Madison Heights,PA,54995,638,104,145,155,77,20,60,PAA15797041,PAA21360038,70 percent present value,Acquisition and Rehab,1985,1992,None,,,False,Y,POINT (4519485.461020354 -15499024.392830338),POINT (4519485.461020354 -15499024.392830338)
PAA95493885,TC2307-0555,40.27581976041009,-79.83603523175088,42090732309,42085875120,42004,9243456,1002 Ashbury Field,420 Kansas Shore,Cornelius,PA,09139,464,508,289,69,55,1,14,PAA43500628,PAA71727364,None,Acquisition and Rehab,2018,2012,42631,True,,True,N,POINT (4483483.747010516 -15434442.990195852),POINT (4483483.747010516 -15434442.990195852)
PAA13639895,PAA00833576,40.563132675777894,-80.08269284705253,42008691701,42086001275,42001,4630072,Cougar Investment,588 Sotelo Cove,Victoria,PA,59429,638,583,224,78,27,50,4,PAA12606578,TC2620-9874,None,New construction,2011,1985,77786,True,False,True,Y,POINT (4515467.274447591 -15591940.61648893),POINT (4515467.274447591 -15591940.61648893)
PAA14967298,PAA10505707,40.661029893649854,-80.01556926727852,42009640500,42055740585,42003,8880919,109 Beideman Glen,746 Frank Norris Place,Lansing,PA,57618,272,184,206,136,10,28,50,PAA11563724,PAA30241198,30 percent present value,Acquisition and Rehab,1988,2010,63080,False,,True,Y,POINT (4526365.142891177 -15548699.682426343),POINT (4526365.142891177 -15548699.682426343)
PAA10165751,TC4399-8026,40.454164636469606,-79.83795224025437,42041923053,42019994196,42003,9731388,Total Yard Management,1303 Fuente Drive,Arvada,PA,85708,529,483,209,107,89,77,28,PAA53379639,TC0495-4519,30 percent present value,Acquisition and Rehab,2013,1982,78548,,True,True,N,POINT (4503337.007799052 -15435652.40546295),POINT (4503337.007799052 -15435652.40546295)
PAA19311024,PAA91187955,40.336921778463214,-79.91486955107915,42003630826,42051960794,42009,5134631,1304 Pena Junction,236 Noriega Pass,Gladstone,PA,43343,424,544,128,92,66,61,27,PAA17966703,PAA50544334,30 percent present value,New construction,2016,1986,None,False,,True,N,POINT (4490285.5925466325 -15484365.710043885),POINT (4490285.5925466325 -15484365.710043885)
PAA71435712,PAA49420141,40.35467372512302,-80.01603015710276,42070857734,42033104318,42005,5244188,Danaher,642 Vandewater Highway,Del Rio,PA,92264,553,535,311,108,58,67,34,PAA22914396,PAA23884374,30 percent present value,Acquisition and Rehab,2015,1999,None,True,,,Y,POINT (4492261.730209391 -15548995.604826124),POINT (4492261.730209391 -15548995.604826124)
PAA44251522,PAA94495117,40.53188480984819,-80.16189060646609,42005870192,42034367508,42005,5583741,1251 Hemway Garden,1221 Quint Alley,Lufkin,PA,21706,146,7,299,144,17,58,30,PAA12258019,TC2947-6377,70 percent present value,Acquisition and Rehab,1988,2011,1541,,False,,N,POINT (4511988.77792392 -15643333.891008355),POINT (4511988.77792392 -15643333.891008355)
PAA66863433,TC9109-4250,40.49743369469007,-79.88880126487311,42007685441,42018571247,42003,1969630,Suadela Investment,1395 Sibert Lake,Conroe,PA,52395,697,49,30,40,73,22,53,PAA13181200,TC0511-4739,70 percent present value,New construction,1993,2001,None,False,False,True,Y,POINT (4508153.697327259 -15467815.067961017),POINT (4508153.697327259 -15467815.067961017)
PAA50851513,TC3803-6893,40.47425549495125,-79.73597678953335,42008105878,42090291302,42001,0419493,Bucyrus International,457 Kearny Run,Hazel Park,PA,10624,281,6,321,65,56,39,31,PAA78486309,TC6167-8862,30 percent present value,Acquisition and Rehab,2012,1994,None,True,True,True,Y,POINT (4505573.511934828 -15371628.744301394),POINT (4505573.511934828 -15371628.744301394)
